Generation,Fitness
1,228476.53732321627
2,203411.06591332122
3,197024.4195710549
4,180586.16251961724
5,180586.16251961724
6,178461.59462052913
7,172343.63426918158
8,162575.31060021376
9,160302.2569528524
10,147448.67713329912
11,147448.67713329912
12,139469.4146255355
13,139469.4146255355
14,139469.4146255355
15,139469.4146255355
16,132683.1151469924
17,132644.0803627428
18,120550.30721123528
19,120550.30721123528
20,120550.30721123528
21,120550.30721123528
22,120550.30721123528
23,115242.54597110522
24,113609.67422101209
25,113609.67422101209
26,113609.67422101209
27,105750.50507960955
28,105750.50507960955
29,105750.50507960955
30,105750.50507960955
31,105750.50507960955
32,105750.50507960955
33,105750.50507960955
34,105750.50507960955
35,102747.47348811758
36,102747.47348811758
37,102747.47348811758
38,102747.47348811758
39,102747.47348811758
40,102747.47348811758
41,102747.47348811758
42,102747.47348811758
43,102191.64346203028
44,102191.64346203028
45,102191.64346203028
46,102191.64346203028
47,93151.42967560026
48,91404.17353997761
49,91404.17353997761
50,91404.17353997761
51,91404.17353997761
52,91404.17353997761
53,91404.17353997761
54,91404.17353997761
55,91404.17353997761
56,91404.17353997761
57,91404.17353997761
58,90932.09520137066
59,90932.09520137066
60,90932.09520137066
61,90932.09520137066
62,90932.09520137066
63,90932.09520137066
64,90932.09520137066
65,90932.09520137066
66,90932.09520137066
67,90932.09520137066
68,90932.09520137066
69,90932.09520137066
70,90932.09520137066
71,90932.09520137066
72,90932.09520137066
73,90932.09520137066
74,90932.09520137066
75,90932.09520137066
76,90932.09520137066
77,90932.09520137066
78,90932.09520137066
79,90932.09520137066
80,90932.09520137066
81,90096.0681181998
82,90096.0681181998
83,90096.0681181998
84,90096.0681181998
85,90096.0681181998
86,90096.0681181998
87,90096.0681181998
88,90096.0681181998
89,90096.0681181998
90,90096.0681181998
91,90096.0681181998
92,90096.0681181998
93,90096.0681181998
94,90096.0681181998
95,90096.0681181998
96,90096.0681181998
97,90096.0681181998
98,90096.0681181998
99,90096.0681181998
100,90096.0681181998
101,90096.0681181998
102,90096.0681181998
103,90096.0681181998
104,90096.0681181998
105,90096.0681181998
106,90096.0681181998
107,90096.0681181998
108,90096.0681181998
109,90096.0681181998
110,90096.0681181998
111,90096.0681181998
112,90096.0681181998
113,90096.0681181998
